TIME,SEQUENCE NUMBER,PROCESSING TIME
Sun Aug 16 2020 16:32:46 GMT+0400 (Gulf Standard Time),57546584,6076
Sun Aug 16 2020 16:32:49 GMT+0400 (Gulf Standard Time),57546585,2995
Sun Aug 16 2020 16:32:52 GMT+0400 (Gulf Standard Time),57546586,3146
Sun Aug 16 2020 16:32:58 GMT+0400 (Gulf Standard Time),57546587,5803
Sun Aug 16 2020 16:33:01 GMT+0400 (Gulf Standard Time),57546588,3000
Sun Aug 16 2020 16:33:04 GMT+0400 (Gulf Standard Time),57546589,3146
Sun Aug 16 2020 16:33:10 GMT+0400 (Gulf Standard Time),57546590,6024
Sun Aug 16 2020 16:33:13 GMT+0400 (Gulf Standard Time),57546591,3011
Sun Aug 16 2020 16:33:16 GMT+0400 (Gulf Standard Time),57546592,3077
Sun Aug 16 2020 16:33:19 GMT+0400 (Gulf Standard Time),57546593,2962
Sun Aug 16 2020 16:33:25 GMT+0400 (Gulf Standard Time),57546594,5797
Sun Aug 16 2020 16:33:28 GMT+0400 (Gulf Standard Time),57546595,3024
Sun Aug 16 2020 16:33:34 GMT+0400 (Gulf Standard Time),57546596,6149
Sun Aug 16 2020 16:33:37 GMT+0400 (Gulf Standard Time),57546597,3068
Sun Aug 16 2020 16:33:40 GMT+0400 (Gulf Standard Time),57546598,2811
Sun Aug 16 2020 16:33:43 GMT+0400 (Gulf Standard Time),57546599,2975
Sun Aug 16 2020 16:33:49 GMT+0400 (Gulf Standard Time),57546600,6207
Sun Aug 16 2020 16:33:52 GMT+0400 (Gulf Standard Time),57546601,2800
Sun Aug 16 2020 16:33:55 GMT+0400 (Gulf Standard Time),57546602,3073
Sun Aug 16 2020 16:34:01 GMT+0400 (Gulf Standard Time),57546603,5942
Sun Aug 16 2020 16:34:04 GMT+0400 (Gulf Standard Time),57546604,3084
Sun Aug 16 2020 16:34:07 GMT+0400 (Gulf Standard Time),57546605,2975
Sun Aug 16 2020 16:34:13 GMT+0400 (Gulf Standard Time),57546606,6069
Sun Aug 16 2020 16:34:16 GMT+0400 (Gulf Standard Time),57546607,2884
Sun Aug 16 2020 16:34:19 GMT+0400 (Gulf Standard Time),57546608,3021
Sun Aug 16 2020 16:34:22 GMT+0400 (Gulf Standard Time),57546609,3000
Sun Aug 16 2020 16:34:28 GMT+0400 (Gulf Standard Time),57546610,6100
Sun Aug 16 2020 16:34:31 GMT+0400 (Gulf Standard Time),57546611,2868
Sun Aug 16 2020 16:34:34 GMT+0400 (Gulf Standard Time),57546612,3146
Sun Aug 16 2020 16:34:40 GMT+0400 (Gulf Standard Time),57546613,6009
Sun Aug 16 2020 16:34:43 GMT+0400 (Gulf Standard Time),57546614,3077
